PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
9.23529E+14,24867,2022,2022,NA,NA,61.97488,-158.5556,95,24867AB,PIMA,8.38,NA,NA
9.23529E+14,24867,2022,2022,NA,NA,61.97488,-158.5556,95,24867AC,PIMA,10.67,NA,NA
6.83089E+14,8941,2022,2020,NA,NA,61.7131,-154.8813,95,08941AA,PIMA,10.92,NA,NA
6.83089E+14,8941,2022,2020,NA,NA,61.7131,-154.8813,95,08941AB,PIMA,7.62,NA,NA
6.83089E+14,8941,2022,2020,NA,NA,61.7131,-154.8813,95,08941AC,PIMA,9.14,NA,NA
6.8309E+14,27529,2022,2020,NA,NA,61.38604,-156.1343,95,27529AA,PIMA,6.86,NA,NA
6.8309E+14,27529,2022,2020,NA,NA,61.38604,-156.1343,95,27529AB,PIMA,9.4,NA,NA
6.8309E+14,27529,2022,2020,NA,NA,61.38604,-156.1343,95,27529AC,PIMA,6.86,NA,NA
9.23529E+14,59042,2022,2022,NA,NA,61.74097,-160.0298,376,59042AB,BENE,11.18,NA,AGE TREE
9.23529E+14,59042,2022,2022,NA,NA,61.74097,-160.0298,376,59042AC,BENE,11.43,NA,AGE TREE
9.23529E+14,59042,2022,2022,NA,NA,61.74097,-160.0298,376,59042AD,BENE,11.18,NA,AGE TREE
9.23529E+14,59042,2022,2022,NA,NA,61.74097,-160.0298,94,59042AE,PIGL,16.51,NA,SITE TREE
9.23529E+14,59042,2022,2022,NA,NA,61.74097,-160.0298,94,59042AF,PIGL,15.75,NA,SITE TREE
6.83089E+14,44811,2022,2020,NA,1.2797E+15,61.7523,-158.7776,95,44811AA,PIMA,7.37,NA,NA
6.83089E+14,44811,2022,2020,NA,1.2797E+15,61.7523,-158.7776,95,44811AB,PIMA,8.38,NA,NA
6.83089E+14,44811,2022,2020,NA,1.2797E+15,61.7523,-158.7776,95,44811AC,PIMA,9.65,NA,NA
6.83089E+14,57113,2022,2020,NA,NA,61.86708,-157.0726,94,57113AA,PIGL,19.56,NA,NA
6.83089E+14,57113,2022,2020,NA,NA,61.86708,-157.0726,94,57113AB,PIGL,21.34,NA,NA
6.83089E+14,57113,2022,2020,NA,NA,61.86708,-157.0726,94,57113AC,PIGL,18.8,NA,NA
